policy_id,horizon_ms,minimum_dxy_move_bps,minimum_xag_move_bps,maximum_initial_xau_move_bps,breakout_move_bps,eligible_full_weekdays,candidates,candidates_per_full_weekday,active_days,active_day_share,long_candidates,short_candidates,minority_direction_share,selection_eligible
H05000__DX050__AG500__XI075__BO300,5000,0.5,5.0,0.75,3.0,22,9,0.4090909090909091,9,0.4090909090909091,6,3,0.3333333333333333,False
H05000__DX050__AG500__XI100__BO200,5000,0.5,5.0,1.0,2.0,22,11,0.5,11,0.5,7,4,0.36363636363636365,False
H05000__DX050__AG500__XI100__BO300,5000,0.5,5.0,1.0,3.0,22,10,0.45454545454545453,10,0.45454545454545453,6,4,0.4,False
H05000__DX050__AG750__XI010__BO200,5000,0.5,7.5,0.1,2.0,22,0,0.0,0,0.0,0,0,0.0,False
H05000__DX050__AG750__XI010__BO300,5000,0.5,7.5,0.1,3.0,22,0,0.0,0,0.0,0,0,0.0,False
H05000__DX050__AG750__XI025__BO200,5000,0.5,7.5,0.25,2.0,22,0,0.0,0,0.0,0,0,0.0,False
H05000__DX050__AG750__XI025__BO300,5000,0.5,7.5,0.25,3.0,22,0,0.0,0,0.0,0,0,0.0,False
H05000__DX050__AG750__XI050__BO200,5000,0.5,7.5,0.5,2.0,22,0,0.0,0,0.0,0,0,0.0,False
H05000__DX050__AG750__XI050__BO300,5000,0.5,7.5,0.5,3.0,22,0,0.0,0,0.0,0,0,0.0,False
H05000__DX050__AG750__XI075__BO200,5000,0.5,7.5,0.75,2.0,22,2,0.09090909090909091,2,0.09090909090909091,1,1,0.5,False
H05000__DX050__AG750__XI075__BO300,5000,0.5,7.5,0.75,3.0,22,1,0.045454545454545456,1,0.045454545454545456,1,0,0.0,False
H05000__DX050__AG750__XI100__BO200,5000,0.5,7.5,1.0,2.0,22,2,0.09090909090909091,2,0.09090909090909091,1,1,0.5,False
H05000__DX050__AG750__XI100__BO300,5000,0.5,7.5,1.0,3.0,22,1,0.045454545454545456,1,0.045454545454545456,1,0,0.0,False
H05000__DX075__AG100__XI010__BO200,5000,0.75,1.0,0.1,2.0,22,20,0.9090909090909091,20,0.9090909090909091,10,10,0.5,True
H05000__DX075__AG100__XI010__BO300,5000,0.75,1.0,0.1,3.0,22,16,0.7272727272727273,16,0.7272727272727273,9,7,0.4375,True
H05000__DX075__AG100__XI025__BO200,5000,0.75,1.0,0.25,2.0,22,20,0.9090909090909091,20,0.9090909090909091,13,7,0.35,True
H05000__DX075__AG100__XI025__BO300,5000,0.75,1.0,0.25,3.0,22,18,0.8181818181818182,18,0.8181818181818182,10,8,0.4444444444444444,True
H05000__DX075__AG100__XI050__BO200,5000,0.75,1.0,0.5,2.0,22,21,0.9545454545454546,21,0.9545454545454546,12,9,0.42857142857142855,True
H05000__DX075__AG100__XI050__BO300,5000,0.75,1.0,0.5,3.0,22,20,0.9090909090909091,20,0.9090909090909091,11,9,0.45,True
H05000__DX075__AG100__XI075__BO200,5000,0.75,1.0,0.75,2.0,22,21,0.9545454545454546,21,0.9545454545454546,9,12,0.42857142857142855,True
H05000__DX075__AG100__XI075__BO300,5000,0.75,1.0,0.75,3.0,22,21,0.9545454545454546,21,0.9545454545454546,11,10,0.47619047619047616,True
H05000__DX075__AG100__XI100__BO200,5000,0.75,1.0,1.0,2.0,22,21,0.9545454545454546,21,0.9545454545454546,10,11,0.47619047619047616,True
H05000__DX075__AG100__XI100__BO300,5000,0.75,1.0,1.0,3.0,22,21,0.9545454545454546,21,0.9545454545454546,12,9,0.42857142857142855,True
H05000__DX075__AG200__XI010__BO200,5000,0.75,2.0,0.1,2.0,22,17,0.7727272727272727,17,0.7727272727272727,9,8,0.47058823529411764,True
H05000__DX075__AG200__XI010__BO300,5000,0.75,2.0,0.1,3.0,22,12,0.5454545454545454,12,0.5454545454545454,5,7,0.4166666666666667,False
H05000__DX075__AG200__XI025__BO200,5000,0.75,2.0,0.25,2.0,22,18,0.8181818181818182,18,0.8181818181818182,13,5,0.2777777777777778,True
H05000__DX075__AG200__XI025__BO300,5000,0.75,2.0,0.25,3.0,22,15,0.6818181818181818,15,0.6818181818181818,8,7,0.4666666666666667,True
H05000__DX075__AG200__XI050__BO200,5000,0.75,2.0,0.5,2.0,22,20,0.9090909090909091,20,0.9090909090909091,14,6,0.3,True
H05000__DX075__AG200__XI050__BO300,5000,0.75,2.0,0.5,3.0,22,17,0.7727272727272727,17,0.7727272727272727,9,8,0.47058823529411764,True
H05000__DX075__AG200__XI075__BO200,5000,0.75,2.0,0.75,2.0,22,21,0.9545454545454546,21,0.9545454545454546,12,9,0.42857142857142855,True
H05000__DX075__AG200__XI075__BO300,5000,0.75,2.0,0.75,3.0,22,21,0.9545454545454546,21,0.9545454545454546,12,9,0.42857142857142855,True
H05000__DX075__AG200__XI100__BO200,5000,0.75,2.0,1.0,2.0,22,21,0.9545454545454546,21,0.9545454545454546,10,11,0.47619047619047616,True
H05000__DX075__AG200__XI100__BO300,5000,0.75,2.0,1.0,3.0,22,21,0.9545454545454546,21,0.9545454545454546,13,8,0.38095238095238093,True
H05000__DX075__AG300__XI010__BO200,5000,0.75,3.0,0.1,2.0,22,13,0.5909090909090909,13,0.5909090909090909,5,8,0.38461538461538464,False
H05000__DX075__AG300__XI010__BO300,5000,0.75,3.0,0.1,3.0,22,9,0.4090909090909091,9,0.4090909090909091,4,5,0.4444444444444444,False
H05000__DX075__AG300__XI025__BO200,5000,0.75,3.0,0.25,2.0,22,15,0.6818181818181818,15,0.6818181818181818,10,5,0.3333333333333333,True
H05000__DX075__AG300__XI025__BO300,5000,0.75,3.0,0.25,3.0,22,11,0.5,11,0.5,7,4,0.36363636363636365,False
H05000__DX075__AG300__XI050__BO200,5000,0.75,3.0,0.5,2.0,22,18,0.8181818181818182,18,0.8181818181818182,11,7,0.3888888888888889,True
H05000__DX075__AG300__XI050__BO300,5000,0.75,3.0,0.5,3.0,22,13,0.5909090909090909,13,0.5909090909090909,7,6,0.46153846153846156,False
H05000__DX075__AG300__XI075__BO200,5000,0.75,3.0,0.75,2.0,22,19,0.8636363636363636,19,0.8636363636363636,11,8,0.42105263157894735,True
H05000__DX075__AG300__XI075__BO300,5000,0.75,3.0,0.75,3.0,22,16,0.7272727272727273,16,0.7272727272727273,7,9,0.4375,True
H05000__DX075__AG300__XI100__BO200,5000,0.75,3.0,1.0,2.0,22,20,0.9090909090909091,20,0.9090909090909091,9,11,0.45,True
H05000__DX075__AG300__XI100__BO300,5000,0.75,3.0,1.0,3.0,22,17,0.7727272727272727,17,0.7727272727272727,8,9,0.47058823529411764,True
H05000__DX075__AG500__XI010__BO200,5000,0.75,5.0,0.1,2.0,22,1,0.045454545454545456,1,0.045454545454545456,1,0,0.0,False
H05000__DX075__AG500__XI010__BO300,5000,0.75,5.0,0.1,3.0,22,0,0.0,0,0.0,0,0,0.0,False
H05000__DX075__AG500__XI025__BO200,5000,0.75,5.0,0.25,2.0,22,4,0.18181818181818182,4,0.18181818181818182,3,1,0.25,False
H05000__DX075__AG500__XI025__BO300,5000,0.75,5.0,0.25,3.0,22,2,0.09090909090909091,2,0.09090909090909091,0,2,0.0,False
H05000__DX075__AG500__XI050__BO200,5000,0.75,5.0,0.5,2.0,22,5,0.22727272727272727,5,0.22727272727272727,4,1,0.2,False
H05000__DX075__AG500__XI050__BO300,5000,0.75,5.0,0.5,3.0,22,3,0.13636363636363635,3,0.13636363636363635,1,2,0.3333333333333333,False
H05000__DX075__AG500__XI075__BO200,5000,0.75,5.0,0.75,2.0,22,5,0.22727272727272727,5,0.22727272727272727,4,1,0.2,False
H05000__DX075__AG500__XI075__BO300,5000,0.75,5.0,0.75,3.0,22,3,0.13636363636363635,3,0.13636363636363635,2,1,0.3333333333333333,False
H05000__DX075__AG500__XI100__BO200,5000,0.75,5.0,1.0,2.0,22,7,0.3181818181818182,7,0.3181818181818182,4,3,0.42857142857142855,False
H05000__DX075__AG500__XI100__BO300,5000,0.75,5.0,1.0,3.0,22,5,0.22727272727272727,5,0.22727272727272727,2,3,0.4,False
H05000__DX075__AG750__XI010__BO200,5000,0.75,7.5,0.1,2.0,22,0,0.0,0,0.0,0,0,0.0,False
H05000__DX075__AG750__XI010__BO300,5000,0.75,7.5,0.1,3.0,22,0,0.0,0,0.0,0,0,0.0,False
H05000__DX075__AG750__XI025__BO200,5000,0.75,7.5,0.25,2.0,22,0,0.0,0,0.0,0,0,0.0,False
H05000__DX075__AG750__XI025__BO300,5000,0.75,7.5,0.25,3.0,22,0,0.0,0,0.0,0,0,0.0,False
H05000__DX075__AG750__XI050__BO200,5000,0.75,7.5,0.5,2.0,22,0,0.0,0,0.0,0,0,0.0,False
H05000__DX075__AG750__XI050__BO300,5000,0.75,7.5,0.5,3.0,22,0,0.0,0,0.0,0,0,0.0,False
H05000__DX075__AG750__XI075__BO200,5000,0.75,7.5,0.75,2.0,22,0,0.0,0,0.0,0,0,0.0,False
H05000__DX075__AG750__XI075__BO300,5000,0.75,7.5,0.75,3.0,22,0,0.0,0,0.0,0,0,0.0,False
H05000__DX075__AG750__XI100__BO200,5000,0.75,7.5,1.0,2.0,22,1,0.045454545454545456,1,0.045454545454545456,1,0,0.0,False
H05000__DX075__AG750__XI100__BO300,5000,0.75,7.5,1.0,3.0,22,1,0.045454545454545456,1,0.045454545454545456,1,0,0.0,False
H10000__DX010__AG100__XI010__BO200,10000,0.1,1.0,0.1,2.0,22,22,1.0,22,1.0,11,11,0.5,True
H10000__DX010__AG100__XI010__BO300,10000,0.1,1.0,0.1,3.0,22,22,1.0,22,1.0,11,11,0.5,True
H10000__DX010__AG100__XI025__BO200,10000,0.1,1.0,0.25,2.0,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
H10000__DX010__AG100__XI025__BO300,10000,0.1,1.0,0.25,3.0,22,22,1.0,22,1.0,13,9,0.4090909090909091,True
H10000__DX010__AG100__XI050__BO200,10000,0.1,1.0,0.5,2.0,22,22,1.0,22,1.0,11,11,0.5,True
H10000__DX010__AG100__XI050__BO300,10000,0.1,1.0,0.5,3.0,22,22,1.0,22,1.0,12,10,0.45454545454545453,True
H10000__DX010__AG100__XI075__BO200,10000,0.1,1.0,0.75,2.0,22,22,1.0,22,1.0,13,9,0.4090909090909091,True
H10000__DX010__AG100__XI075__BO300,10000,0.1,1.0,0.75,3.0,22,22,1.0,22,1.0,11,11,0.5,True
H10000__DX010__AG100__XI100__BO200,10000,0.1,1.0,1.0,2.0,22,22,1.0,22,1.0,11,11,0.5,True
H10000__DX010__AG100__XI100__BO300,10000,0.1,1.0,1.0,3.0,22,22,1.0,22,1.0,10,12,0.45454545454545453,True
H10000__DX010__AG200__XI010__BO200,10000,0.1,2.0,0.1,2.0,22,22,1.0,22,1.0,10,12,0.45454545454545453,True
H10000__DX010__AG200__XI010__BO300,10000,0.1,2.0,0.1,3.0,22,20,0.9090909090909091,20,0.9090909090909091,9,11,0.45,True
H10000__DX010__AG200__XI025__BO200,10000,0.1,2.0,0.25,2.0,22,22,1.0,22,1.0,11,11,0.5,True
H10000__DX010__AG200__XI025__BO300,10000,0.1,2.0,0.25,3.0,22,21,0.9545454545454546,21,0.9545454545454546,9,12,0.42857142857142855,True
H10000__DX010__AG200__XI050__BO200,10000,0.1,2.0,0.5,2.0,22,22,1.0,22,1.0,10,12,0.45454545454545453,True
H10000__DX010__AG200__XI050__BO300,10000,0.1,2.0,0.5,3.0,22,22,1.0,22,1.0,9,13,0.4090909090909091,True
H10000__DX010__AG200__XI075__BO200,10000,0.1,2.0,0.75,2.0,22,22,1.0,22,1.0,12,10,0.45454545454545453,True
H10000__DX010__AG200__XI075__BO300,10000,0.1,2.0,0.75,3.0,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
H10000__DX010__AG200__XI100__BO200,10000,0.1,2.0,1.0,2.0,22,22,1.0,22,1.0,11,11,0.5,True
H10000__DX010__AG200__XI100__BO300,10000,0.1,2.0,1.0,3.0,22,22,1.0,22,1.0,9,13,0.4090909090909091,True
H10000__DX010__AG300__XI010__BO200,10000,0.1,3.0,0.1,2.0,22,18,0.8181818181818182,18,0.8181818181818182,8,10,0.4444444444444444,True
H10000__DX010__AG300__XI010__BO300,10000,0.1,3.0,0.1,3.0,22,15,0.6818181818181818,15,0.6818181818181818,8,7,0.4666666666666667,True
H10000__DX010__AG300__XI025__BO200,10000,0.1,3.0,0.25,2.0,22,20,0.9090909090909091,20,0.9090909090909091,7,13,0.35,True
H10000__DX010__AG300__XI025__BO300,10000,0.1,3.0,0.25,3.0,22,17,0.7727272727272727,17,0.7727272727272727,7,10,0.4117647058823529,True
H10000__DX010__AG300__XI050__BO200,10000,0.1,3.0,0.5,2.0,22,21,0.9545454545454546,21,0.9545454545454546,10,11,0.47619047619047616,True
H10000__DX010__AG300__XI050__BO300,10000,0.1,3.0,0.5,3.0,22,20,0.9090909090909091,20,0.9090909090909091,10,10,0.5,True
H10000__DX010__AG300__XI075__BO200,10000,0.1,3.0,0.75,2.0,22,21,0.9545454545454546,21,0.9545454545454546,12,9,0.42857142857142855,True
H10000__DX010__AG300__XI075__BO300,10000,0.1,3.0,0.75,3.0,22,20,0.9090909090909091,20,0.9090909090909091,7,13,0.35,True
H10000__DX010__AG300__XI100__BO200,10000,0.1,3.0,1.0,2.0,22,21,0.9545454545454546,21,0.9545454545454546,10,11,0.47619047619047616,True
H10000__DX010__AG300__XI100__BO300,10000,0.1,3.0,1.0,3.0,22,21,0.9545454545454546,21,0.9545454545454546,8,13,0.38095238095238093,True
H10000__DX010__AG500__XI010__BO200,10000,0.1,5.0,0.1,2.0,22,6,0.2727272727272727,6,0.2727272727272727,3,3,0.5,False
H10000__DX010__AG500__XI010__BO300,10000,0.1,5.0,0.1,3.0,22,5,0.22727272727272727,5,0.22727272727272727,1,4,0.2,False
H10000__DX010__AG500__XI025__BO200,10000,0.1,5.0,0.25,2.0,22,9,0.4090909090909091,9,0.4090909090909091,4,5,0.4444444444444444,False
H10000__DX010__AG500__XI025__BO300,10000,0.1,5.0,0.25,3.0,22,7,0.3181818181818182,7,0.3181818181818182,2,5,0.2857142857142857,False
H10000__DX010__AG500__XI050__BO200,10000,0.1,5.0,0.5,2.0,22,14,0.6363636363636364,14,0.6363636363636364,8,6,0.42857142857142855,False
H10000__DX010__AG500__XI050__BO300,10000,0.1,5.0,0.5,3.0,22,9,0.4090909090909091,9,0.4090909090909091,5,4,0.4444444444444444,False
H10000__DX010__AG500__XI075__BO200,10000,0.1,5.0,0.75,2.0,22,15,0.6818181818181818,15,0.6818181818181818,9,6,0.4,True
H10000__DX010__AG500__XI075__BO300,10000,0.1,5.0,0.75,3.0,22,13,0.5909090909090909,13,0.5909090909090909,8,5,0.38461538461538464,False
H10000__DX010__AG500__XI100__BO200,10000,0.1,5.0,1.0,2.0,22,18,0.8181818181818182,18,0.8181818181818182,11,7,0.3888888888888889,True
H10000__DX010__AG500__XI100__BO300,10000,0.1,5.0,1.0,3.0,22,16,0.7272727272727273,16,0.7272727272727273,9,7,0.4375,True
H10000__DX010__AG750__XI010__BO200,10000,0.1,7.5,0.1,2.0,22,1,0.045454545454545456,1,0.045454545454545456,1,0,0.0,False
H10000__DX010__AG750__XI010__BO300,10000,0.1,7.5,0.1,3.0,22,1,0.045454545454545456,1,0.045454545454545456,1,0,0.0,False
H10000__DX010__AG750__XI025__BO200,10000,0.1,7.5,0.25,2.0,22,3,0.13636363636363635,3,0.13636363636363635,1,2,0.3333333333333333,False
H10000__DX010__AG750__XI025__BO300,10000,0.1,7.5,0.25,3.0,22,2,0.09090909090909091,2,0.09090909090909091,1,1,0.5,False
H10000__DX010__AG750__XI050__BO200,10000,0.1,7.5,0.5,2.0,22,4,0.18181818181818182,4,0.18181818181818182,2,2,0.5,False
H10000__DX010__AG750__XI050__BO300,10000,0.1,7.5,0.5,3.0,22,2,0.09090909090909091,2,0.09090909090909091,1,1,0.5,False
H10000__DX010__AG750__XI075__BO200,10000,0.1,7.5,0.75,2.0,22,5,0.22727272727272727,5,0.22727272727272727,2,3,0.4,False
H10000__DX010__AG750__XI075__BO300,10000,0.1,7.5,0.75,3.0,22,3,0.13636363636363635,3,0.13636363636363635,1,2,0.3333333333333333,False
H10000__DX010__AG750__XI100__BO200,10000,0.1,7.5,1.0,2.0,22,6,0.2727272727272727,6,0.2727272727272727,4,2,0.3333333333333333,False
H10000__DX010__AG750__XI100__BO300,10000,0.1,7.5,1.0,3.0,22,4,0.18181818181818182,4,0.18181818181818182,1,3,0.25,False
H10000__DX020__AG100__XI010__BO200,10000,0.2,1.0,0.1,2.0,22,22,1.0,22,1.0,11,11,0.5,True
H10000__DX020__AG100__XI010__BO300,10000,0.2,1.0,0.1,3.0,22,22,1.0,22,1.0,11,11,0.5,True
H10000__DX020__AG100__XI025__BO200,10000,0.2,1.0,0.25,2.0,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
H10000__DX020__AG100__XI025__BO300,10000,0.2,1.0,0.25,3.0,22,22,1.0,22,1.0,13,9,0.4090909090909091,True
H10000__DX020__AG100__XI050__BO200,10000,0.2,1.0,0.5,2.0,22,22,1.0,22,1.0,11,11,0.5,True
H10000__DX020__AG100__XI050__BO300,10000,0.2,1.0,0.5,3.0,22,22,1.0,22,1.0,12,10,0.45454545454545453,True
H10000__DX020__AG100__XI075__BO200,10000,0.2,1.0,0.75,2.0,22,22,1.0,22,1.0,13,9,0.4090909090909091,True
H10000__DX020__AG100__XI075__BO300,10000,0.2,1.0,0.75,3.0,22,22,1.0,22,1.0,11,11,0.5,True
H10000__DX020__AG100__XI100__BO200,10000,0.2,1.0,1.0,2.0,22,22,1.0,22,1.0,11,11,0.5,True
H10000__DX020__AG100__XI100__BO300,10000,0.2,1.0,1.0,3.0,22,22,1.0,22,1.0,10,12,0.45454545454545453,True
H10000__DX020__AG200__XI010__BO200,10000,0.2,2.0,0.1,2.0,22,22,1.0,22,1.0,10,12,0.45454545454545453,True
H10000__DX020__AG200__XI010__BO300,10000,0.2,2.0,0.1,3.0,22,20,0.9090909090909091,20,0.9090909090909091,9,11,0.45,True
H10000__DX020__AG200__XI025__BO200,10000,0.2,2.0,0.25,2.0,22,22,1.0,22,1.0,11,11,0.5,True
H10000__DX020__AG200__XI025__BO300,10000,0.2,2.0,0.25,3.0,22,21,0.9545454545454546,21,0.9545454545454546,9,12,0.42857142857142855,True
H10000__DX020__AG200__XI050__BO200,10000,0.2,2.0,0.5,2.0,22,22,1.0,22,1.0,10,12,0.45454545454545453,True
H10000__DX020__AG200__XI050__BO300,10000,0.2,2.0,0.5,3.0,22,22,1.0,22,1.0,9,13,0.4090909090909091,True
H10000__DX020__AG200__XI075__BO200,10000,0.2,2.0,0.75,2.0,22,22,1.0,22,1.0,12,10,0.45454545454545453,True
H10000__DX020__AG200__XI075__BO300,10000,0.2,2.0,0.75,3.0,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
H10000__DX020__AG200__XI100__BO200,10000,0.2,2.0,1.0,2.0,22,22,1.0,22,1.0,11,11,0.5,True
H10000__DX020__AG200__XI100__BO300,10000,0.2,2.0,1.0,3.0,22,22,1.0,22,1.0,9,13,0.4090909090909091,True
H10000__DX020__AG300__XI010__BO200,10000,0.2,3.0,0.1,2.0,22,18,0.8181818181818182,18,0.8181818181818182,8,10,0.4444444444444444,True
H10000__DX020__AG300__XI010__BO300,10000,0.2,3.0,0.1,3.0,22,15,0.6818181818181818,15,0.6818181818181818,8,7,0.4666666666666667,True
H10000__DX020__AG300__XI025__BO200,10000,0.2,3.0,0.25,2.0,22,20,0.9090909090909091,20,0.9090909090909091,7,13,0.35,True
H10000__DX020__AG300__XI025__BO300,10000,0.2,3.0,0.25,3.0,22,17,0.7727272727272727,17,0.7727272727272727,7,10,0.4117647058823529,True
H10000__DX020__AG300__XI050__BO200,10000,0.2,3.0,0.5,2.0,22,21,0.9545454545454546,21,0.9545454545454546,10,11,0.47619047619047616,True
H10000__DX020__AG300__XI050__BO300,10000,0.2,3.0,0.5,3.0,22,20,0.9090909090909091,20,0.9090909090909091,10,10,0.5,True
H10000__DX020__AG300__XI075__BO200,10000,0.2,3.0,0.75,2.0,22,21,0.9545454545454546,21,0.9545454545454546,12,9,0.42857142857142855,True
H10000__DX020__AG300__XI075__BO300,10000,0.2,3.0,0.75,3.0,22,20,0.9090909090909091,20,0.9090909090909091,7,13,0.35,True
H10000__DX020__AG300__XI100__BO200,10000,0.2,3.0,1.0,2.0,22,21,0.9545454545454546,21,0.9545454545454546,10,11,0.47619047619047616,True
H10000__DX020__AG300__XI100__BO300,10000,0.2,3.0,1.0,3.0,22,21,0.9545454545454546,21,0.9545454545454546,8,13,0.38095238095238093,True
H10000__DX020__AG500__XI010__BO200,10000,0.2,5.0,0.1,2.0,22,6,0.2727272727272727,6,0.2727272727272727,3,3,0.5,False
H10000__DX020__AG500__XI010__BO300,10000,0.2,5.0,0.1,3.0,22,5,0.22727272727272727,5,0.22727272727272727,1,4,0.2,False
H10000__DX020__AG500__XI025__BO200,10000,0.2,5.0,0.25,2.0,22,9,0.4090909090909091,9,0.4090909090909091,4,5,0.4444444444444444,False
H10000__DX020__AG500__XI025__BO300,10000,0.2,5.0,0.25,3.0,22,7,0.3181818181818182,7,0.3181818181818182,2,5,0.2857142857142857,False
H10000__DX020__AG500__XI050__BO200,10000,0.2,5.0,0.5,2.0,22,14,0.6363636363636364,14,0.6363636363636364,8,6,0.42857142857142855,False
H10000__DX020__AG500__XI050__BO300,10000,0.2,5.0,0.5,3.0,22,9,0.4090909090909091,9,0.4090909090909091,5,4,0.4444444444444444,False
H10000__DX020__AG500__XI075__BO200,10000,0.2,5.0,0.75,2.0,22,15,0.6818181818181818,15,0.6818181818181818,9,6,0.4,True
H10000__DX020__AG500__XI075__BO300,10000,0.2,5.0,0.75,3.0,22,13,0.5909090909090909,13,0.5909090909090909,8,5,0.38461538461538464,False
H10000__DX020__AG500__XI100__BO200,10000,0.2,5.0,1.0,2.0,22,18,0.8181818181818182,18,0.8181818181818182,11,7,0.3888888888888889,True
H10000__DX020__AG500__XI100__BO300,10000,0.2,5.0,1.0,3.0,22,16,0.7272727272727273,16,0.7272727272727273,9,7,0.4375,True
H10000__DX020__AG750__XI010__BO200,10000,0.2,7.5,0.1,2.0,22,1,0.045454545454545456,1,0.045454545454545456,1,0,0.0,False
H10000__DX020__AG750__XI010__BO300,10000,0.2,7.5,0.1,3.0,22,1,0.045454545454545456,1,0.045454545454545456,1,0,0.0,False
H10000__DX020__AG750__XI025__BO200,10000,0.2,7.5,0.25,2.0,22,3,0.13636363636363635,3,0.13636363636363635,1,2,0.3333333333333333,False
H10000__DX020__AG750__XI025__BO300,10000,0.2,7.5,0.25,3.0,22,2,0.09090909090909091,2,0.09090909090909091,1,1,0.5,False
H10000__DX020__AG750__XI050__BO200,10000,0.2,7.5,0.5,2.0,22,4,0.18181818181818182,4,0.18181818181818182,2,2,0.5,False
H10000__DX020__AG750__XI050__BO300,10000,0.2,7.5,0.5,3.0,22,2,0.09090909090909091,2,0.09090909090909091,1,1,0.5,False
H10000__DX020__AG750__XI075__BO200,10000,0.2,7.5,0.75,2.0,22,5,0.22727272727272727,5,0.22727272727272727,2,3,0.4,False
H10000__DX020__AG750__XI075__BO300,10000,0.2,7.5,0.75,3.0,22,3,0.13636363636363635,3,0.13636363636363635,1,2,0.3333333333333333,False
H10000__DX020__AG750__XI100__BO200,10000,0.2,7.5,1.0,2.0,22,6,0.2727272727272727,6,0.2727272727272727,4,2,0.3333333333333333,False
H10000__DX020__AG750__XI100__BO300,10000,0.2,7.5,1.0,3.0,22,4,0.18181818181818182,4,0.18181818181818182,1,3,0.25,False
H10000__DX030__AG100__XI010__BO200,10000,0.3,1.0,0.1,2.0,22,22,1.0,22,1.0,12,10,0.45454545454545453,True
H10000__DX030__AG100__XI010__BO300,10000,0.3,1.0,0.1,3.0,22,22,1.0,22,1.0,12,10,0.45454545454545453,True
H10000__DX030__AG100__XI025__BO200,10000,0.3,1.0,0.25,2.0,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
H10000__DX030__AG100__XI025__BO300,10000,0.3,1.0,0.25,3.0,22,22,1.0,22,1.0,13,9,0.4090909090909091,True
H10000__DX030__AG100__XI050__BO200,10000,0.3,1.0,0.5,2.0,22,22,1.0,22,1.0,10,12,0.45454545454545453,True
H10000__DX030__AG100__XI050__BO300,10000,0.3,1.0,0.5,3.0,22,22,1.0,22,1.0,12,10,0.45454545454545453,True
H10000__DX030__AG100__XI075__BO200,10000,0.3,1.0,0.75,2.0,22,22,1.0,22,1.0,11,11,0.5,True
H10000__DX030__AG100__XI075__BO300,10000,0.3,1.0,0.75,3.0,22,22,1.0,22,1.0,11,11,0.5,True
H10000__DX030__AG100__XI100__BO200,10000,0.3,1.0,1.0,2.0,22,22,1.0,22,1.0,10,12,0.45454545454545453,True
H10000__DX030__AG100__XI100__BO300,10000,0.3,1.0,1.0,3.0,22,22,1.0,22,1.0,10,12,0.45454545454545453,True
H10000__DX030__AG200__XI010__BO200,10000,0.3,2.0,0.1,2.0,22,22,1.0,22,1.0,10,12,0.45454545454545453,True
H10000__DX030__AG200__XI010__BO300,10000,0.3,2.0,0.1,3.0,22,19,0.8636363636363636,19,0.8636363636363636,9,10,0.47368421052631576,True
H10000__DX030__AG200__XI025__BO200,10000,0.3,2.0,0.25,2.0,22,22,1.0,22,1.0,10,12,0.45454545454545453,True
H10000__DX030__AG200__XI025__BO300,10000,0.3,2.0,0.25,3.0,22,21,0.9545454545454546,21,0.9545454545454546,9,12,0.42857142857142855,True
H10000__DX030__AG200__XI050__BO200,10000,0.3,2.0,0.5,2.0,22,22,1.0,22,1.0,11,11,0.5,True
H10000__DX030__AG200__XI050__BO300,10000,0.3,2.0,0.5,3.0,22,22,1.0,22,1.0,9,13,0.4090909090909091,True
H10000__DX030__AG200__XI075__BO200,10000,0.3,2.0,0.75,2.0,22,22,1.0,22,1.0,12,10,0.45454545454545453,True
H10000__DX030__AG200__XI075__BO300,10000,0.3,2.0,0.75,3.0,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
H10000__DX030__AG200__XI100__BO200,10000,0.3,2.0,1.0,2.0,22,22,1.0,22,1.0,10,12,0.45454545454545453,True
H10000__DX030__AG200__XI100__BO300,10000,0.3,2.0,1.0,3.0,22,22,1.0,22,1.0,9,13,0.4090909090909091,True
H10000__DX030__AG300__XI010__BO200,10000,0.3,3.0,0.1,2.0,22,16,0.7272727272727273,16,0.7272727272727273,7,9,0.4375,True
H10000__DX030__AG300__XI010__BO300,10000,0.3,3.0,0.1,3.0,22,14,0.6363636363636364,14,0.6363636363636364,8,6,0.42857142857142855,False
H10000__DX030__AG300__XI025__BO200,10000,0.3,3.0,0.25,2.0,22,19,0.8636363636363636,19,0.8636363636363636,6,13,0.3157894736842105,True
H10000__DX030__AG300__XI025__BO300,10000,0.3,3.0,0.25,3.0,22,17,0.7727272727272727,17,0.7727272727272727,7,10,0.4117647058823529,True
H10000__DX030__AG300__XI050__BO200,10000,0.3,3.0,0.5,2.0,22,21,0.9545454545454546,21,0.9545454545454546,9,12,0.42857142857142855,True
H10000__DX030__AG300__XI050__BO300,10000,0.3,3.0,0.5,3.0,22,20,0.9090909090909091,20,0.9090909090909091,10,10,0.5,True
H10000__DX030__AG300__XI075__BO200,10000,0.3,3.0,0.75,2.0,22,21,0.9545454545454546,21,0.9545454545454546,10,11,0.47619047619047616,True
H10000__DX030__AG300__XI075__BO300,10000,0.3,3.0,0.75,3.0,22,20,0.9090909090909091,20,0.9090909090909091,7,13,0.35,True
H10000__DX030__AG300__XI100__BO200,10000,0.3,3.0,1.0,2.0,22,21,0.9545454545454546,21,0.9545454545454546,8,13,0.38095238095238093,True
