instrument,record_type,bar_start_utc,exclusion_reason,candidate_alignment,comparable_bars,exact_bid_ohlc_bars,exact_rate,selected,passed
EURUSD,EXCLUDED_BAR,2025-04-23T20:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T21:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T21:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T21:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T21:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T21:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T21:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T21:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T21:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T21:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T21:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T21:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T21:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T22:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T22:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T22:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T22:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T22:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T22:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T22:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T22:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T22:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T22:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T22:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T22:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T23:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T23:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T23:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T23:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T23:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T23:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T23:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T23:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T23:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T23:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T23:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-23T23:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T00:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T00:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T00:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T00:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T00:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T00:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T00:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T00:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T00:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T00:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T00:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T00:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T01:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T01:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T01:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T01:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T01:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T01:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T01:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T01:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T01:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T01:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T01:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T01:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T02:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T02:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T02:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T02:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T02:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T02:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T02:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T02:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T02:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T02:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T02:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T02:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T03:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T03:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T03:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T03:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T03:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T03:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T03:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T03:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T03:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T03:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T03:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T03:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T04:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T04:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T04:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T04:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T04:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T04:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T04:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T04:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T04:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T04:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T04:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T04:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T05:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T05:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T05:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T05:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T05:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T05:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T05:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T05:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T05:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T05:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T05:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T05:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T06:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T06:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T06:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T06:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T06:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T06:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T06:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T06:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T06:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T06:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T06:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T06:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T07:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T07:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T07:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T07:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T07:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T07:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T07:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T07:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T07:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T07:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T07:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T07:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T08:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T08:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T08:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T08:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T08:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T08:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T08:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T08:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T08:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T08:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T08:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T08:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T09:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T09:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T09:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T09:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T09:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T09:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T09:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T09:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T09:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T09:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T09:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T09:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T10:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T10:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T10:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T10:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T10:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T10:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T10:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T10:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T10:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T10:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T10:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T10:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T11:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T11:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T11:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T11:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T11:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T11:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T11:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T11:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T11:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T11:45:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T11:50:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T11:55:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T12:00:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T12:05:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T12:10:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T12:15:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T12:20:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T12:25:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T12:30:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T12:35:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
EURUSD,EXCLUDED_BAR,2025-04-24T12:40:00+00:00,NO_VALID_TICKS_IN_REPOSITORY_INTERVAL,,,,,False,False
